submissionId	batch	reads	reference	primerProtocol	location_code	date	location
16_2023-01-31	date	250	RSV-B	Eawag-2024-RSV-B	16	2023-01-31	Genève (GE)
10_2022-12-19	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-12-19	Zürich (ZH)
10_2023-01-02	date	250	RSV-B	Eawag-2024-RSV-B	10	2023-01-02	Zürich (ZH)
16_2023-01-02	date	250	RSV-B	Eawag-2024-RSV-B	16	2023-01-02	Genève (GE)
16_2022-12-27	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-12-27	Genève (GE)
10_2022-11-19	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-11-19	Zürich (ZH)
10_2023-01-07	date	250	RSV-B	Eawag-2024-RSV-B	10	2023-01-07	Zürich (ZH)
16_2022-11-14	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-11-14	Genève (GE)
10_2022-12-26	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-12-26	Zürich (ZH)
10_2023-01-29	date	250	RSV-B	Eawag-2024-RSV-B	10	2023-01-29	Zürich (ZH)
16_2022-11-06	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-11-06	Genève (GE)
10_2023-01-22	date	250	RSV-B	Eawag-2024-RSV-B	10	2023-01-22	Zürich (ZH)
16_2023-01-16	date	250	RSV-B	Eawag-2024-RSV-B	16	2023-01-16	Genève (GE)
16_2022-11-21	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-11-21	Genève (GE)
16_2022-12-06	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-12-06	Genève (GE)
16_2022-12-01	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-12-01	Genève (GE)
16_2023-01-24	date	250	RSV-B	Eawag-2024-RSV-B	16	2023-01-24	Genève (GE)
10_2022-11-06	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-11-06	Zürich (ZH)
10_2022-12-03	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-12-03	Zürich (ZH)
10_2022-11-22	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-11-22	Zürich (ZH)
16_2022-11-08	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-11-08	Genève (GE)
10_2022-12-06	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-12-06	Zürich (ZH)
16_2022-12-13	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-12-13	Genève (GE)
16_2022-12-20	date	250	RSV-B	Eawag-2024-RSV-B	16	2022-12-20	Genève (GE)
10_2022-12-12	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-12-12	Zürich (ZH)
10_2022-11-13	date	250	RSV-B	Eawag-2024-RSV-B	10	2022-11-13	Zürich (ZH)
16_2023-01-10	date	250	RSV-B	Eawag-2024-RSV-B	16	2023-01-10	Genève (GE)
10_2023-01-12_3x	date	250	RSV-B	Eawag-2024-RSV-B	16	2023-01-12	Zürich (ZH)
